team_id,name,games,club_id,reasons
908-green-a,908 Green A,4,908-green,low_games
boa-a,Boa A,4,boa,low_games
chawp-a,Chawp A,4,chawp,low_games
ciu-a,CIU A,4,ciu,low_games
ct-premier-a,Ct Premier A,4,ct-premier,low_games
cvu-a,Cvu A,4,cvu,low_games
foothill-b,Foothill B,4,foothill,low_games
honolulu-blue-a,Honolulu Blue A,4,honolulu-blue,low_games
honolulu-green-a,Honolulu Green A,4,honolulu-green,low_games
la-jolla-united-b,LA Jolla United B,4,la-jolla-united,low_games
la-jolla-united-gold-a,LA Jolla United Gold A,4,la-jolla-united-gold,low_games
loyola-wpc-a,Loyola Wpc A,4,loyola-wpc,low_games
nado-a,Nado A,4,nado,low_games
nbwp-white-b,Nbwp White B,4,nbwp-white,low_games
ocwpc-blue-a,OCWPC Blue A,4,ocwpc-blue,low_games
ocwpc-c,OCWPC C,4,ocwpc,low_games
ohana-a,Ohana A,4,ohana,low_games
orwp-a,Orwp A,4,orwp,low_games
palos-verdes-a,Palos Verdes A,4,palos-verdes,low_games
pasadena-ac-a,Pasadena Ac A,4,pasadena-ac,low_games
patriot-red-b,Patriot Red B,4,patriot-red,low_games
peak-polo-lightning-pt-a,Peak Polo Lightning Pt A,4,peak-polo-lightning-pt,low_games
poway-valley-black-a,Poway Valley Black A,4,poway-valley-black,low_games
san-clemente-black-b,San Clemente Black B,4,san-clemente-black,low_games
san-diego-shores-a,San Diego Shores A,4,san-diego-shores,low_games
sand-canyon-black-pt-a,Sand Canyon Black Pt A,4,sand-canyon-black-pt,low_games
sand-canyon-red-a,Sand Canyon Red A,4,sand-canyon-red,low_games
sd-shores-black-a,SD Shores Black A,4,sd-shores-black,low_games
sfv-a,Sfv A,4,sfv,low_games
sj-foundation-a,SJ Foundation A,4,sj-foundation,low_games
skip-a,SKIP A,4,skip,low_games
south-coast-blue-c,South Coast Blue C,4,south-coast-blue,low_games
south-county-aquatics-a,South County Aquatics A,4,south-county-aquatics,low_games
south-valley-a,South Valley A,4,south-valley,low_games
stanford-13-a,Stanford 13 A,4,stanford-13,low_games
stanford-c,Stanford C,4,stanford,low_games
tmec-wp-a,Tmec Wp A,4,tmec-wp,low_games
tri-valley-tritons-a,Tri Valley Tritons A,4,tri-valley-tritons,low_games
triton-gold-a,Triton Gold A,4,triton-gold,low_games
tsm-b,Tsm B,4,tsm,low_games
vanguard-blue-a,Vanguard Blue A,4,vanguard-blue,low_games
908-blue-a,908 Blue A,3,908-blue,low_games
big-valley-a,Big Valley A,3,big-valley,low_games
cdm-white-a,CDM White A,3,cdm-white,low_games
channel-islands-united-gold-a,Channel Islands United Gold A,3,channel-islands-united-gold,low_games
devil-s-gate-a,Devil S Gate A,3,devil-s-gate,low_games
lacuwp-a,Lacuwp A,3,lacuwp,low_games
north-irvine-red-b,North Irvine Red B,3,north-irvine-red,low_games
nsd-stars-a,Nsd Stars A,3,nsd-stars,low_games
ocwpc-red-b,OCWPC Red B,3,ocwpc-red,low_games
orange-county-wpc-b,Orange County Wpc B,3,orange-county-wpc,low_games
orange-county-wpc-blue-a,Orange County Wpc Blue A,3,orange-county-wpc-blue,low_games
orwp-b,Orwp B,3,orwp,low_games
peak-polo-boltz-pt-a,Peak Polo Boltz Pt A,3,peak-polo-boltz-pt,low_games
rancho-tsunami-blue-a,Rancho Tsunami Blue A,3,rancho-tsunami-blue,low_games
route-66-aquatics-a,Route 66 Aquatics A,3,route-66-aquatics,low_games
san-clemente-white-c,San Clemente White C,3,san-clemente-white,low_games
san-diego-dons-14-black-a,San Diego Dons 14 Black A,3,san-diego-dons-14-black,low_games
sd-dons-c,SD Dons C,3,sd-dons,low_games
shaq-blue-a,Shaq Blue A,3,shaq-blue,low_games
shaq-white-a,Shaq White A,3,shaq-white,low_games
1stp-chawp-a,1stp Chawp A,2,1stp-chawp,low_games
1stq-ocwpc-red-b,1stq OCWPC Red B,2,1stq-ocwpc-red,low_games;not_in_registry_low_games
1str-patriot-red-b,1str Patriot Red B,2,1str-patriot-red,low_games;not_in_registry_low_games
2ndp-set-a,2ndp Set A,2,2ndp-set,low_games
2ndq-san-clemente-black-b,2ndq San Clemente Black B,2,2ndq-san-clemente-black,low_games;not_in_registry_low_games
2ndr-vanguard-silver-b,2ndr Vanguard Silver B,2,2ndr-vanguard-silver,low_games;not_in_registry_low_games
3rdp-north-irvine-red-b,3rdp North Irvine Red B,2,3rdp-north-irvine-red,low_games;not_in_registry_low_games
3rdq-tmec-wp-a,3rdq Tmec Wp A,2,3rdq-tmec-wp,low_games
3rdr-san-clemente-white-c,3rdr San Clemente White C,2,3rdr-san-clemente-white,low_games;not_in_registry_low_games
brea-olinda-gold-a,Brea Olinda Gold A,2,brea-olinda-gold,low_games
cdm-b,CDM B,2,cdm,low_games
lowpo-a,Lowpo A,2,lowpo,low_games
riverside-a,Riverside A,2,riverside,low_games
sd-dons-b,SD Dons B,2,sd-dons,low_games
sd-shores-gold-a,SD Shores Gold A,2,sd-shores-gold,low_games
trilogy-black-a,Trilogy Black A,2,trilogy-black,low_games
11-a,11 A,1,11,low_games
15-a,15 A,1,15,low_games
19-route-66-aquatics-a,19 Route 66 Aquatics A,1,19-route-66-aquatics,low_games
1st-in-a-la-premier-a,1st In A LA Premier A,1,1st-in-a-la-premier,low_games
1st-in-b-pv-black-a,1st In B Pv Black A,1,1st-in-b-pv-black,low_games
1st-in-c-ciu-gold-a,1st In C CIU Gold A,1,1st-in-c-ciu-gold,low_games
1st-in-d-908-yellow-a,1st In D 908 Yellow A,1,1st-in-d-908-yellow,low_games
1st-in-e-commerce-a,1st In E Commerce A,1,1st-in-e-commerce,low_games
1st-in-f-sbwpc-a,1st In F Sbwpc A,1,1st-in-f-sbwpc,low_games
1st-in-g-gate-14u-a,1st In G Gate 14u A,1,1st-in-g-gate-14u,low_games
1st-in-h-south-coast-red-a,1st In H South Coast Red A,1,1st-in-h-south-coast-red,low_games
