team_id,name,club_id,level,games_observed,ranking_eligible,aliases
11-a,11 A,11,A,1,False,11; 11 A; 11-a
15-a,15 A,15,A,1,False,15; 15 A; 15-a
19-route-66-aquatics-a,19 Route 66 Aquatics A,19-route-66-aquatics,A,1,False,19 Route 66 Aquatics; 19 Route 66 Aquatics A; 19-route-66-aquatics; 19-route-66-aquatics-a
1st-in-a-la-premier-a,1st In A LA Premier A,1st-in-a-la-premier,A,1,False,1st In A LA Premier; 1st In A LA Premier A; 1st-in-a-la-premier; 1st-in-a-la-premier-a
1st-in-b-pv-black-a,1st In B Pv Black A,1st-in-b-pv-black,A,1,False,1st In B Pv Black; 1st In B Pv Black A; 1st-in-b-pv-black; 1st-in-b-pv-black-a
1st-in-c-ciu-gold-a,1st In C CIU Gold A,1st-in-c-ciu-gold,A,1,False,1st In C CIU Gold; 1st In C CIU Gold A; 1st-in-c-ciu-gold; 1st-in-c-ciu-gold-a
1st-in-d-908-yellow-a,1st In D 908 Yellow A,1st-in-d-908-yellow,A,1,False,1st In D 908 Yellow; 1st In D 908 Yellow A; 1st-in-d-908-yellow; 1st-in-d-908-yellow-a
1st-in-e-commerce-a,1st In E Commerce A,1st-in-e-commerce,A,1,False,1st In E Commerce; 1st In E Commerce A; 1st-in-e-commerce; 1st-in-e-commerce-a
1st-in-f-sbwpc-a,1st In F Sbwpc A,1st-in-f-sbwpc,A,1,False,1st In F Sbwpc A; 1st-in-f-sbwpc-a
1st-in-g-gate-14u-a,1st In G Gate 14u A,1st-in-g-gate-14u,A,1,False,1st In G Gate 14u; 1st In G Gate 14u A; 1st-in-g-gate-14u; 1st-in-g-gate-14u-a
1st-in-h-south-coast-red-a,1st In H South Coast Red A,1st-in-h-south-coast-red,A,1,False,1st In H South Coast Red; 1st In H South Coast Red A; 1st-in-h-south-coast-red; 1st-in-h-south-coast-red-a
1sta-brea-olinda-gold-a,1sta Brea Olinda Gold A,1sta-brea-olinda-gold,A,1,False,1sta Brea Olinda Gold; 1sta Brea Olinda Gold A; 1sta-brea-olinda-gold; 1sta-brea-olinda-gold-a
